C
C     One-electron Compton profiles and ionization energies for
C  the elements Z=1-92.
C
C |--- Atomic number, Z.
C | |--- Shell (nlj). j is indicated with a plus sign if j=l+1/2,
C | |    and with a minus sign if j=l-1/2.
C | |   |--- Shell occupation number, Zi.
C | |   | |--- One-electron Compton profile at p=0, in atomic
C | |   | |    units. Taken from F. Biggs, L. B. Mendelsohn and
C | |   | |    J. B. Mann, At. Data and Nucl. Data Tables 16
C | |   | |    (1975) 201.
C | |   | |            |--- Ionization energy (eV).
C | |   | |            |
 60 3p- 2 6.28E-2 001403
 60 3p+ 4 6.54E-2 001298
 60 3d- 4 4.31E-2 001000
 60 3d+ 6 4.36E-2 000978
 60 4s+ 2 2.28E-1 000321
 60 4p- 2 1.46E-1 000230
 60 4p+ 4 1.52E-1 000230
 60 4d- 4 1.21E-1 000124
 60 4d+ 6 1.23E-1 000121
 60 5s+ 2 5.97E-1 000038
 60 5p- 2 4.07E-1 000022
 60 5p+ 4 4.34E-1 000022
 60 4f- 6 8.04E-1 000005
 61 1s+ 2 1.29E-2 045185
 61 2s+ 2 4.61E-2 007430
 61 2p- 2 2.28E-2 007015
 61 2p+ 4 2.43E-2 006465
 61 3s+ 2 1.04E-1 001656
 61 3p- 2 6.13E-2 001478
 61 3p+ 4 6.40E-2 001364
 61 3d- 4 4.21E-2 001060
 61 3d+ 6 4.26E-2 001034
 61 4s+ 2 2.23E-1 000337
 61 4p- 2 1.42E-1 000242
 61 4p+ 4 1.48E-1 000242
 61 4d- 4 1.18E-1 000133
 61 4d+ 6 1.19E-1 000129
 61 5s+ 2 5.86E-1 000038
 61 5p- 2 3.99E-1 000022
 61 5p+ 4 4.27E-1 000022
